rubra	SRR6480160	metaSPAdes	1
nilotica1	SRR6482158	metaSPAdes	2
caroliniana1	SRR6480231	metaSPAdes	1
caroliniana2	SRR6480201	metaSPAdes	1
microphylla	SRR6480161	metaSPAdes	1
mexicana	SRR6480159	metaSPAdes	1
ref_from_reads  SRR066216       metaSPAdes      1
#nilotica2       SRR6480196      metaSPAdes      2
